theMonth,theWeek,theDay,theYear,total,WorldSeriesCount,RoyalsCount,TakeTheCrownCount,LGMCount,SFGiantsCount
2,6,12,2015,144,117,12,1,0,4
2,6,13,2015,227,225,5,0,0,4
2,6,14,2015,199,196,19,5,0,19
2,7,15,2015,92,91,8,1,0,15
2,7,16,2015,133,130,34,0,0,12
2,7,17,2015,217,213,3,1,0,15
2,7,18,2015,148,145,0,0,0,6
2,7,19,2015,165,156,4,1,0,5
2,7,20,2015,140,136,4,0,0,6
2,7,21,2015,89,86,0,0,0,3
2,8,22,2015,92,85,1,0,0,6
2,8,23,2015,158,156,4,0,0,7
2,8,24,2015,230,229,2,0,0,18
2,8,25,2015,129,123,2,0,0,14
2,8,26,2015,230,202,0,0,0,10
2,8,27,2015,181,179,3,0,0,8
2,8,28,2015,447,442,8,0,0,6
3,9,1,2015,86,81,2,0,0,7
3,9,2,2015,64,62,1,0,0,1
3,9,3,2015,146,137,2,0,0,10
3,9,4,2015,48,48,4,0,0,5
3,9,5,2015,61,61,2,0,0,5
3,9,6,2015,54,52,2,0,1,2
3,9,7,2015,58,58,0,0,0,3
3,10,8,2015,46,41,1,0,0,3
3,10,9,2015,36,34,1,0,0,5
3,10,10,2015,48,47,0,0,0,1
3,10,11,2015,73,70,0,0,0,4
3,10,12,2015,108,106,7,0,0,8
3,10,13,2015,115,112,0,0,0,6
3,10,14,2015,130,129,2,0,0,6
3,11,15,2015,126,123,0,0,0,3
3,11,16,2015,73,71,1,0,0,4
3,11,17,2015,376,376,1,0,0,2
3,11,18,2015,103,102,4,0,0,1
3,11,19,2015,279,279,2,0,0,2
3,11,20,2015,88,84,0,0,0,6
3,11,21,2015,402,385,2,0,0,2
3,12,22,2015,290,286,7,3,0,5
3,12,23,2015,55,50,1,0,0,1
4,14,7,2015,204,203,3,0,0,27
4,14,8,2015,138,135,0,0,0,3
4,14,9,2015,290,288,18,0,1,4
4,14,10,2015,128,128,0,0,0,2
4,14,11,2015,143,141,4,0,0,2
4,15,12,2015,131,128,7,0,0,5
4,15,13,2015,402,399,6,1,0,26
4,15,14,2015,649,646,8,1,1,233
4,15,15,2015,133,130,0,0,1,8
4,15,16,2015,146,143,2,0,0,10
4,15,17,2015,139,136,2,0,1,6
4,15,18,2015,436,433,3,0,0,175
4,16,19,2015,180,178,2,0,1,49
4,16,20,2015,86,85,4,0,0,3
4,16,21,2015,101,94,1,0,0,10
4,16,22,2015,149,120,1,0,3,3
4,16,23,2015,128,128,1,0,1,3
4,16,24,2015,362,359,5,1,1,234
4,16,25,2015,362,355,2,0,0,5
4,17,26,2015,144,138,0,0,0,2
4,17,27,2015,160,158,2,0,1,6
4,17,28,2015,103,98,0,0,0,1
4,17,29,2015,95,94,0,0,0,2
4,17,30,2015,120,119,0,0,0,0
5,17,1,2015,101,87,0,0,1,7
5,17,2,2015,97,85,1,0,0,3
5,18,3,2015,91,86,0,0,0,1
5,18,4,2015,58,54,0,0,0,3
5,18,5,2015,90,90,1,0,0,1
5,18,6,2015,100,97,0,0,0,4
5,18,7,2015,138,113,1,0,0,0
5,18,8,2015,275,275,0,0,0,11
5,18,9,2015,113,112,2,0,0,2
5,19,10,2015,210,185,0,0,0,5
5,19,11,2015,77,77,2,0,0,1
5,19,12,2015,644,641,1,0,0,8
5,19,13,2015,170,164,1,0,0,3
5,19,14,2015,81,77,0,0,0,2
5,19,15,2015,118,115,5,1,0,4
5,19,16,2015,127,125,0,0,0,3
5,20,17,2015,281,265,2,0,0,1
5,20,18,2015,199,186,0,0,0,1
5,20,19,2015,113,109,2,0,0,1
5,20,20,2015,113,111,2,0,0,2
5,20,21,2015,172,156,19,2,0,9
5,20,22,2015,270,255,18,3,0,3
5,20,23,2015,263,223,0,0,0,4
5,21,24,2015,287,232,3,0,0,5
5,21,25,2015,122,96,3,0,0,3
5,21,26,2015,573,561,0,0,0,0
5,21,27,2015,159,157,0,0,1,0
5,21,28,2015,113,104,2,0,1,2
5,21,29,2015,107,101,2,0,0,2
5,21,30,2015,203,185,0,0,0,7
5,22,31,2015,149,141,18,0,6,1
6,22,1,2015,104,102,0,0,0,14
6,22,2,2015,92,86,3,0,0,1
6,22,3,2015,137,129,0,0,0,1
6,22,4,2015,172,163,2,0,5,21
6,22,5,2015,89,86,1,0,0,5
6,22,6,2015,85,83,1,0,0,5
6,23,7,2015,161,157,0,0,0,2
6,23,8,2015,76,74,3,0,0,3
6,23,9,2015,72,69,0,0,0,0
6,23,10,2015,77,75,2,0,0,2
6,23,11,2015,92,91,1,0,0,0
6,23,12,2015,101,97,3,0,0,2
6,23,13,2015,123,116,4,0,5,5
6,24,14,2015,118,110,2,0,6,1
6,24,15,2015,367,367,2,0,0,2
6,24,16,2015,192,190,5,1,0,10
6,24,17,2015,162,156,2,1,0,10
6,24,18,2015,111,94,1,0,0,5
6,24,19,2015,220,218,19,0,0,1
6,24,20,2015,129,122,1,0,0,0
6,25,21,2015,126,104,6,0,0,2
6,25,22,2015,83,83,2,0,0,1
6,25,23,2015,66,66,2,0,0,1
6,25,24,2015,75,74,1,0,0,0
6,25,25,2015,123,116,0,0,0,5
6,25,26,2015,54,52,0,0,0,0
6,25,27,2015,78,77,0,0,0,0
6,26,28,2015,79,76,0,0,0,2
6,26,29,2015,95,92,1,0,0,1
6,26,30,2015,63,59,0,0,0,3
7,26,1,2015,76,74,2,0,0,0
7,26,2,2015,71,69,1,0,0,3
7,26,3,2015,71,67,0,0,0,1
7,26,4,2015,73,69,0,0,0,3
7,27,5,2015,51,50,3,0,0,4
7,27,6,2015,85,83,1,0,0,0
7,27,7,2015,87,85,1,0,0,4
7,27,8,2015,98,92,0,0,0,4
7,27,9,2015,76,74,0,0,0,3
7,27,10,2015,80,79,4,0,1,2
7,27,11,2015,87,83,4,1,0,2
7,28,12,2015,88,85,1,0,0,3
7,28,13,2015,162,160,3,0,0,1
7,28,14,2015,804,800,1,0,0,1
7,28,15,2015,5060,5026,43,3,1,13
7,28,16,2015,1587,1584,3,0,0,1
7,28,17,2015,392,387,2,0,0,1
7,28,18,2015,914,902,1,0,0,0
7,29,19,2015,135,127,0,0,0,2
7,29,20,2015,266,256,3,0,1,0
7,29,21,2015,717,714,5,0,0,0
7,29,22,2015,833,830,6,0,0,3
7,29,23,2015,991,973,12,0,0,0
7,29,24,2015,382,374,14,0,0,4
7,29,25,2015,149,132,1,0,0,1
7,30,26,2015,213,200,30,4,0,1
7,30,27,2015,220,212,13,0,1,0
7,30,28,2015,229,202,21,0,1,4
7,30,29,2015,193,185,12,0,0,3
7,30,30,2015,420,413,9,0,0,2
7,30,31,2015,264,248,2,0,0,7
8,30,1,2015,152,143,3,0,0,2
8,31,2,2015,114,107,0,0,0,0
8,31,3,2015,323,314,3,2,0,0
8,31,4,2015,193,183,2,0,1,0
8,31,5,2015,220,217,0,0,0,0
8,31,6,2015,162,153,1,0,1,4
8,31,7,2015,215,182,0,0,0,3
8,31,8,2015,252,241,1,0,1,2
8,32,9,2015,189,178,3,0,0,1
8,32,10,2015,218,214,9,0,0,1
8,32,11,2015,184,183,5,29,0,1
8,32,12,2015,170,167,2,0,0,0
8,32,13,2015,470,446,2,0,2,2
8,32,14,2015,205,201,1,0,0,0
8,32,15,2015,888,877,0,0,0,3
8,33,16,2015,196,191,0,0,0,1
8,33,17,2015,657,652,6,0,0,4
8,33,18,2015,384,381,4,0,0,5
8,33,19,2015,352,349,0,0,1,4
8,33,20,2015,294,291,4,0,0,2
8,33,21,2015,345,341,1,0,0,8
8,33,22,2015,134,116,1,1,0,2
8,34,23,2015,190,180,0,0,0,0
8,34,24,2015,283,282,4,0,0,0
8,34,25,2015,214,211,2,0,1,2
8,34,26,2015,256,250,3,1,0,1
8,34,27,2015,212,206,2,0,0,3
8,34,28,2015,197,191,2,0,0,1
8,34,29,2015,301,294,1,0,0,6
8,35,30,2015,295,285,1,1,1,2
8,35,31,2015,308,304,1,0,0,10
9,35,1,2015,998,996,2,0,0,4
9,35,2,2015,486,482,9,0,0,2
9,35,3,2015,209,204,1,0,1,9
9,35,4,2015,338,338,1,0,0,1
9,35,5,2015,92,91,0,1,0,2
9,36,6,2015,67,63,0,0,0,2
9,36,7,2015,472,466,5,0,0,4
9,36,8,2015,207,207,2,0,1,0
9,36,9,2015,258,258,0,0,1,3
9,36,10,2015,174,163,4,0,6,3
9,36,11,2015,90,90,1,0,1,0
9,36,12,2015,182,180,0,0,1,4
9,37,13,2015,648,645,2,0,0,1
9,37,14,2015,388,385,3,0,1,1
9,37,15,2015,293,290,2,0,0,0
9,37,16,2015,168,166,2,0,1,0
9,37,17,2015,171,168,0,0,0,2
9,37,18,2015,222,219,1,0,0,4
9,37,19,2015,230,226,1,0,3,88
9,38,20,2015,116,115,5,2,1,5
9,38,21,2015,396,391,4,0,10,6
9,38,22,2015,726,716,1,0,0,2
9,38,23,2015,1323,1319,1,0,2,1
9,38,24,2015,477,473,20,0,2,2
9,38,25,2015,521,450,32,4,1,3
9,38,26,2015,445,427,4,1,14,3
9,39,27,2015,410,400,2,0,4,4
9,39,28,2015,891,886,4,0,2,2
9,39,29,2015,557,546,7,0,1,4
9,39,30,2015,1537,1514,0,0,3,11
10,39,1,2015,1357,1338,5,2,0,5
10,39,2,2015,1758,1741,8,1,1,5
10,39,3,2015,736,724,2,2,0,5
10,40,4,2015,1111,1103,30,2,2,4
10,40,5,2015,1067,1057,9,1,2,6
10,40,6,2015,1326,1308,19,42,29,17
10,40,7,2015,1723,1681,76,38,23,2
10,40,8,2015,2630,2578,40,43,22,3
10,40,9,2015,1160,1127,21,58,46,0
10,40,10,2015,561,499,8,9,18,3
10,41,11,2015,341,309,5,8,8,1
10,41,12,2015,899,865,29,21,6,0
10,41,13,2015,1831,1784,14,11,25,2
10,41,14,2015,3571,3489,14,9,7,3
10,41,15,2015,1965,1908,80,46,11,5
10,41,16,2015,2919,2790,366,38,68,19
10,41,17,2015,1410,1373,98,65,19,45
10,42,18,2015,1282,1260,22,8,56,4
10,42,19,2015,2165,2135,46,20,155,2
10,42,20,2015,3293,3227,182,125,25,6
10,42,21,2015,7972,7818,1263,1230,804,15
10,42,22,2015,75959,74386,153,88,46817,14
10,42,23,2015,9165,8853,79,112,2359,36
10,42,24,2015,48222,46911,11111,15576,3626,20
10,43,25,2015,9215,9014,651,876,1730,16
10,43,26,2015,18996,18555,1428,1828,3999,24
10,43,27,2015,84127,81306,6342,19302,14937,127
10,43,28,2015,280857,267621,24506,21838,20484,109
10,43,29,2015,122187,116250,18845,18494,8685,127
10,43,30,2015,38694,36952,2750,2456,5164,37
10,43,31,2015,109962,104182,8699,6088,18745,43
11,44,1,2015,114169,107759,15848,16239,11240,26
11,44,2,2015,244303,230980,35015,20964,10711,252
11,44,3,2015,24368,23645,4097,855,118,45
11,44,4,2015,15510,15197,1777,218,227,36
11,44,5,2015,9205,9083,495,87,94,61
11,44,6,2015,3561,3497,246,39,24,36
11,44,7,2015,2132,2092,171,34,16,3
11,45,8,2015,926,878,92,17,15,2
11,45,9,2015,1564,1536,259,33,15,4
11,45,10,2015,807,768,119,20,12,5
11,45,11,2015,845,820,81,14,13,3
11,45,12,2015,801,785,86,19,8,0
11,45,13,2015,458,437,72,4,6,1
11,45,14,2015,357,336,60,6,5,1
11,46,15,2015,388,353,30,14,11,1
11,46,16,2015,554,505,41,11,5,0
11,46,17,2015,683,670,43,11,11,1
11,46,18,2015,838,815,31,35,4,4
11,46,19,2015,293,273,32,6,6,1
11,46,20,2015,311,299,107,16,8,0
11,46,21,2015,259,242,22,6,2,0
11,47,22,2015,533,498,13,8,4,0
11,47,23,2015,1456,1450,14,5,1,0
11,47,24,2015,947,939,24,5,0,1
11,47,25,2015,676,663,15,5,3,2
11,47,26,2015,412,400,153,4,3,6
11,47,27,2015,171,161,13,4,0,0
11,47,28,2015,168,159,24,14,2,2
11,48,29,2015,138,125,13,2,1,0
11,48,30,2015,169,153,26,4,2,0
12,48,1,2015,192,187,19,3,1,1
12,48,2,2015,139,130,5,1,3,4
12,48,3,2015,129,109,12,4,2,0
12,48,4,2015,243,227,75,4,1,0
12,48,5,2015,164,151,8,0,0,4
12,49,6,2015,149,132,21,0,1,1
12,49,7,2015,191,179,33,1,1,0
12,49,8,2015,397,393,4,5,4,0
12,49,9,2015,257,237,7,0,3,1
12,49,10,2015,171,156,10,1,3,7
12,49,11,2015,285,269,17,4,1,0
12,49,12,2015,198,187,5,3,5,0
12,50,13,2015,89,80,3,0,2,0
12,50,14,2015,208,196,37,1,3,9
12,50,15,2015,105,101,11,2,2,4
12,50,16,2015,134,128,7,3,0,1
12,50,17,2015,175,168,47,0,1,8
12,50,18,2015,106,100,18,3,1,1
12,50,19,2015,103,93,10,2,3,2
12,51,20,2015,86,76,6,1,0,5
12,51,21,2015,639,629,18,15,2,2
12,51,22,2015,275,267,10,1,0,1
12,51,23,2015,85,80,7,4,0,3
12,51,24,2015,129,127,5,2,1,1
12,51,25,2015,131,120,14,3,1,0
12,51,26,2015,179,172,59,11,2,4
12,52,27,2015,87,85,11,5,2,3
12,52,28,2015,271,224,7,1,2,0
12,52,29,2015,142,130,8,0,2,0
12,52,30,2015,102,98,10,3,3,1
12,52,31,2015,372,353,38,1,2,2
1,0,1,2016,355,350,6,0,5,5
1,0,2,2016,141,131,31,1,1,0
1,1,3,2016,65,63,4,0,1,2
1,1,4,2016,138,138,27,0,1,1
1,1,5,2016,122,117,19,1,2,1
1,1,6,2016,195,182,10,1,2,2
1,1,7,2016,116,112,20,17,15,2
1,1,8,2016,74,70,1,0,2,2
1,1,9,2016,149,142,7,1,2,0
1,2,10,2016,123,121,18,1,1,0
1,2,11,2016,69,62,4,2,1,1
1,2,12,2016,134,126,10,0,0,0
1,2,13,2016,111,111,4,0,1,2
1,2,14,2016,81,77,5,1,0,3
1,2,15,2016,94,89,6,0,1,1
1,2,16,2016,152,151,7,0,3,1
1,3,17,2016,109,107,7,1,1,0
1,3,18,2016,89,85,8,4,1,1
1,3,19,2016,446,440,12,1,1,1
1,3,20,2016,136,126,6,1,3,0
1,3,21,2016,183,172,55,1,3,1
1,3,22,2016,170,156,20,0,5,2
1,3,23,2016,202,198,14,0,11,0
1,4,24,2016,118,115,6,5,3,1
1,4,25,2016,219,214,5,4,2,1
1,4,26,2016,148,144,5,2,4,2
1,4,27,2016,297,292,5,0,2,0
1,4,28,2016,354,352,25,1,4,0
1,4,29,2016,402,395,17,0,4,0
1,4,30,2016,210,199,24,18,4,2
1,5,31,2016,315,289,12,9,2,9
2,5,1,2016,174,163,3,1,4,1
2,5,2,2016,82,80,8,0,0,0
2,5,3,2016,258,256,8,0,0,1
2,5,4,2016,86,82,2,1,2,3
2,5,5,2016,61,60,2,0,2,2
2,5,6,2016,84,82,1,1,0,1
2,6,7,2016,160,137,2,1,25,2
2,6,8,2016,217,204,16,2,7,1
2,6,9,2016,132,131,2,2,2,0
2,6,10,2016,94,92,16,1,0,0
2,6,11,2016,104,102,8,0,0,2
2,6,12,2016,80,74,4,0,3,0
2,6,13,2016,221,220,4,0,2,0
2,7,14,2016,50,48,2,1,0,0
2,7,15,2016,114,114,37,2,2,0
2,7,16,2016,124,117,19,0,2,0
2,7,17,2016,164,160,6,3,0,4
2,7,18,2016,150,146,9,2,3,5
2,7,19,2016,115,103,7,1,1,5
2,7,20,2016,202,181,4,0,1,0
2,8,21,2016,221,206,8,0,0,1
2,8,22,2016,129,122,4,0,1,3
2,8,23,2016,162,160,11,0,0,1
2,8,24,2016,996,992,7,1,1,6
2,8,25,2016,631,624,337,0,2,1
2,8,26,2016,391,383,30,1,1,0
2,8,27,2016,100,93,12,0,3,2
2,9,28,2016,112,105,1,1,1,0
2,9,29,2016,82,80,2,0,2,0
3,9,1,2016,281,279,4,0,1,0
3,9,2,2016,222,221,3,0,0,1
3,9,3,2016,276,273,5,0,1,2
3,9,4,2016,119,114,2,0,1,2
3,9,5,2016,72,66,1,0,1,0
3,10,6,2016,151,146,0,0,0,0
3,10,7,2016,72,70,2,0,0,0
3,10,8,2016,48,47,2,1,0,0
3,10,9,2016,189,188,6,2,0,0
3,10,10,2016,111,109,13,1,0,1
3,10,11,2016,123,116,4,0,4,0
3,10,12,2016,46,46,4,1,1,1
3,11,13,2016,71,66,5,0,1,1
3,11,14,2016,75,73,15,12,0,1
3,11,15,2016,80,75,8,3,0,0
3,11,16,2016,96,93,12,9,2,0
3,11,17,2016,264,262,12,2,2,0
3,11,18,2016,103,96,13,10,1,0
3,11,19,2016,126,117,3,0,0,6
3,12,20,2016,83,83,2,0,1,1
3,12,21,2016,109,102,3,0,0,1
3,12,22,2016,90,88,3,1,0,1
3,12,23,2016,94,92,5,0,0,5
3,12,24,2016,99,98,2,0,1,1
3,12,25,2016,136,135,24,7,5,3
3,12,26,2016,111,106,6,0,3,7
3,13,27,2016,60,60,7,0,3,3
3,13,28,2016,58,55,2,0,0,0
3,13,29,2016,131,129,14,0,2,0
3,13,30,2016,128,128,9,2,3,5
3,13,31,2016,224,222,21,0,1,3
4,13,1,2016,257,247,19,0,3,3
4,13,2,2016,251,249,14,1,4,7
4,14,3,2016,1132,1043,145,1,10,7
4,14,4,2016,549,513,76,3,22,8
4,14,5,2016,909,883,65,3,4,2
4,14,6,2016,204,186,22,0,1,4
4,14,7,2016,220,209,19,0,0,5
4,14,8,2016,216,213,5,0,3,1
4,14,9,2016,114,108,7,0,1,3
4,15,10,2016,138,135,11,0,2,2
4,15,11,2016,109,108,2,0,3,2
4,15,12,2016,97,91,4,0,1,0
4,15,13,2016,267,261,4,0,1,1
4,15,14,2016,110,106,2,0,28,2
4,15,15,2016,105,100,7,0,1,0
4,15,16,2016,106,104,8,0,1,0
4,16,17,2016,120,116,3,6,2,2
4,16,18,2016,75,72,1,0,2,0
4,16,19,2016,83,82,4,1,0,1
4,16,20,2016,74,71,8,0,2,0
4,16,21,2016,53,53,3,0,0,0
